Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,08/10/2016,INTEREST EARNED AND PAID FROM 07/14/16 - THROUGH 08/10/16 INCLUSIVE,,Interest,$,0.07,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,08/10/2016,CASH WITHDRAWAL ON  08/10 AT CARDTRONICS CCWF - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-102.95,,,Personal,HSBC Bank - HSBC PREMIER,CARDTRONICS
posted,08/10/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-42.29,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,08/08/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,146.85,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,08/05/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/04/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-45.74,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,08/02/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-56.99,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,08/01/2016,CHECK - 203,,Checks,$,"-2,300.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,PURCHASE ON  08/01 AT 3800 ROSEDALE HIGHWAY - BAKERSFIELD  CA,,General Merchandise,$,-164.16,,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,DEPOSIT FROM CARTUS-EDI PAYMTS,,Other Income,$,411.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,REBATE OF ATM SURCHARGE FOR 07/27/16 WITHDRAWAL,,Deposits,$,1.50,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,07/28/2016,AUTOMATIC TRANSFER TO CREDIT ACCOUNT #xxxxxx3437,,Transfers,$,-316.87,,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,07/27/2016,CASH WITHDRAWAL ON  07/27 AT x2581 ROSEDALE HWY - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-41.50,,,Personal,HSBC Bank - HSBC PREMIER,Cash Withdrawal
posted,07/27/2016,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,,Credit Card Payments,$,316.87,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,07/26/2016,PAYMENT TO PGANDE-WEB ONLINE,,Utilities,$,-104.26,,,Personal,HSBC Bank - HSBC PREMIER,Pacific Gas and Electric Company
posted,07/25/2016,ONLINE TRANSFER TO   CHECKING xxxxxxx1056 ON 07/24 - REFERENCE NO: IBxx1738,,Transfers,$,-0.02,,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Transfer
posted,07/25/2016,CHECK - 109,,Checks,$,-53.73,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/25/2016,ONLINE TRANSFER FROM SAVINGS  xxxxxxx7199 ON 07/24 - REFERENCE NO: IBxx1738,,Transfers,$,0.02,,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,07/25/2016,DEPOSIT,,Deposits,$,110.91,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/25/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,188.05,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,07/22/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/20/2016,PAYMENT TO SO CAL GAS-PAID SCGC,,Utilities,$,-18.33,,,Personal,HSBC Bank - HSBC PREMIER,Southern California Gas Company
posted,07/19/2016,CHECK - 108,,Checks,$,-260.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/15/2016,DEPOSIT FROM CVX T&E REIMB-EDI PAYMNT,,Other Income,$,638.76,,,Personal,HSBC Bank - HSBC PREMIER,Reimbursement
posted,07/13/2016,INTEREST EARNED AND PAID FROM 06/11/16 - THROUGH 07/13/16 INCLUSIVE,,Interest,$,0.13,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,07/13/2016,PAYMENT TO CITI AUTOPAY-PAYMENT,,Credit Card Payments,$,"-3,887.94",,,Personal,HSBC Bank - HSBC PREMIER,Citibank
posted,07/13/2016,PAYMENT TO HSBC ONLINE-TRANSFER,,Transfers,$,"-3,060.00",,,Personal,HSBC Bank - HSBC PREMIER,HSBC
posted,07/13/2016,PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,,Entertainment,$,-5.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Apple Inc
posted,07/11/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-136.20,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,07/07/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/06/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-36.85,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,07/05/2016,PAYMENT TO WATSON REALTY SE-WEB PMTS,,Credit Card Payments,$,"-1,950.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/05/2016,PAYMENT TO PAYPAL-INST XFER,,Transfers,$,-74.20,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,07/05/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-10.00,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,07/05/2016,PURCHASE - HERTZ UK LIMITED         MIDDLESEX    GB,,Travel,$,-370.37,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,The Hertz Corporation
posted,07/03/2016,PURCHASE - TU SMARTMOVE             xxx-xxx-0961 CO,,General Merchandise,$,-23.80,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
