Date,Payee,Category,Memo,Outflow,Inflow
2016-07-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,316.87
2016-07-13,Apple Inc,Entertainment,,5.99,
2016-07-05,The Hertz Corporation,Travel,,370.37,
2016-07-03,TU SMARTMOVE             xxx-xxx-0961 CO,General Merchandise,,23.8,
2016-06-29,Apple Inc,Entertainment,,3.99,
2016-06-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,422.9
2016-06-06,RENTALCARS.COM           MANCHESTER   GB,General Merchandise,,271.12,
2016-06-05,Sprout's Farmers Market,Groceries,,41.76,
2016-05-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,6062.68
2016-05-26,Panera Bread,Restaurants/Dining,,3.39,
2016-05-23,Spotify Ltd,Entertainment,,9.99,
2016-05-20,RETURN - CLUEBOARD                xxx-xxx-8559 CA,Deposits,,,108.55
2016-05-18,RETURN - WASDKEYBOAR              xxxxxx6991   CA,Deposits,,,120.45
2016-05-13,TARGET        xxxx7151   ,Uncategorized,,16.76,
2016-05-11,Sprout's Farmers Market,Groceries,,47.79,
2016-05-10,The Travelers Companies,Insurance,,55.25,
2016-05-09,COLD STONE,Restaurants/Dining,,1.99,
2016-05-08,FOOT REFLEXOLOGY         ,Clothing/Shoes,,30.0,
2016-05-08,EDWARDS BAKERSFIELD ST   ,General Merchandise,,9.75,
2016-05-06,Trader Joe's,Groceries,,34.45,
2016-05-06,MY GYM BAKERSFIELD       ,Hobbies,,68.0,
2016-05-05,Banana Republic,Clothing/Shoes,,43.53,
2016-05-04,Amazon.com,General Merchandise,,13.96,
2016-05-03,COSTCO.COM  *ONLINE      xxx-xxx-2292 WA,Entertainment,,55.0,
2016-05-03,GEICO,Insurance,,125.21,
2016-05-03,"Sirius XM Radio, Inc",Entertainment,,12.52,
2016-05-03,Beach Pizza,Restaurants/Dining,,6.0,
2016-05-03,Ideal Bar & Grill,Groceries,,6.0,
2016-05-03,Walmart #2557           ,Groceries,,112.31,
2016-05-02,OAKLAND ZOO              OAKLAND      CA,Entertainment,,49.25,
2016-05-02,HILLTOP MINI MART        ROYAL OAKS   CA,Groceries,,30.0,
2016-05-02,SANTA CRUZ PAY BY PHON   xxxxxxx5184  CA,Service Charges/Fees,,7.35,
2016-05-02,DENICAS REAL FOOD KITC   CASTRO VALLEYCA,Groceries,,50.3,
2016-05-02,SQ *THE PICNIC BASK      SANTA CRUZ   CA,Restaurants/Dining,,31.5,
2016-05-02,Rotten Robbie,Gasoline/Fuel,,26.66,
2016-05-02,Denny's Restaurant,Restaurants/Dining,,28.48,
2016-04-30,Bright House Networks,Cable/Satellite Services,,93.3,
2016-04-30,Netflix,Entertainment,,7.99,
2016-04-29,Spotify Ltd,Entertainment,,9.99,
2016-04-29,NORWEGIA xxxxxxxxxx0000  FORNEBU      NO,General Merchandise,,2211.27,
2016-04-27,FOOT REFLEXOLOGY         ,Clothing/Shoes,,30.0,
2016-04-27,DEWAR'S CANDY SHOP       ,Gifts,,5.27,
2016-04-27,USPS,Postage and Shipping,,1.41,
2016-04-27,Target,General Merchandise,,37.88,
2016-04-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,3394.05
2016-04-26,Rite Aid,Healthcare/Medical,,23.13,
2016-04-26,Sprout's Farmers Market,Groceries,,42.0,
2016-04-25,Target,General Merchandise,,62.8,
2016-04-24,MARKET@WORK xxxxxxxxxx   xxxxxx9149   WA,Groceries,,1.89,
2016-04-24,Krispy Kreme Doughnut Corporation,Restaurants/Dining,,3.27,
2016-04-22,RUBEN'S MEXICAN RESTRN   ,Restaurants/Dining,,15.0,
2016-04-22,CONDOR                   FRANKFURT    US,General Merchandise,,1259.97,
2016-04-19,CSP                      xxx-xxx9926  CA,General Merchandise,,27.0,
2016-04-19,Great Clips,Personal Care,,17.0,
2016-04-19,Aaron Brothers,Gifts,,42.13,
2016-04-18,"UNITED DOMAINS, INC      CAMBRIDGE    MA",General Merchandise,,19.0,
2016-04-18,FOOT REFLEXOLOGY         ,Clothing/Shoes,,65.0,
2016-04-18,Target,General Merchandise,,49.57,
2016-04-18,Hobby Lobby,Hobbies,,5.89,
2016-04-18,Sprout's Farmers Market,Groceries,,6.69,
2016-04-17,Sprout's Farmers Market,Groceries,,60.13,
2016-04-15,"FRANK S LU, LAC INC.     ",General Merchandise,,100.0,
2016-04-15,Goodwill Industries International,Education,,60.28,
2016-04-15,PayPal,Online Services,,3.65,
2016-04-15,Krispy Kreme Doughnut Corporation,Restaurants/Dining,,8.99,
2016-04-14,Amazon.com,General Merchandise,,4.36,
2016-04-14,Starbucks,Restaurants/Dining,,2.75,
2016-04-14,Amazon.com,General Merchandise,,17.37,
2016-04-13,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,11.77,
2016-04-13,PayPal,Online Services,,32.8,
2016-04-12,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,54.75,
2016-04-12,FOOT REFLEXOLOGY         ,Clothing/Shoes,,60.0,
2016-04-12,CLUEBOARD                xxx-xxx-8559 CA,General Merchandise,,122.74,
2016-04-12,Albertsons,Groceries,,55.34,
2016-04-12,RETURN - PMK                      xxxxxx5044   WA,Deposits,,,4.6
2016-04-11,T-Mobile,Telephone Services,,43.7,
2016-04-11,WASDKEYBOAR              xxxxxx6991   CA,General Merchandise,,131.4,
2016-04-11,Trader Joe's,Groceries,,11.75,
2016-04-11,Starbucks,Restaurants/Dining,,7.2,
2016-04-11,LORENES COFFEE SHOP      ,Restaurants/Dining,,44.11,
2016-04-11,American Eagle Outfitters,Clothing/Shoes,,72.48,
2016-04-11,PMK                      xxxxxx5044   WA,General Merchandise,,14.6,
2016-04-11,PayPal,Online Services,,4.81,
2016-04-10,Express,Clothing/Shoes,,60.0,
2016-04-10,Baskin-Robbins,Restaurants/Dining,,10.89,
2016-04-10,Uber Technologies Ltd,Travel,,9.15,
2016-04-10,Sprout's Farmers Market,Groceries,,19.47,
2016-04-10,Shell,Gasoline/Fuel,,39.5,
2016-04-08,Panera Bread,Restaurants/Dining,,8.89,
2016-04-08,The Travelers Companies,Insurance,,55.25,
2016-04-07,EDWARDS BAKERSFIELD ST   ,General Merchandise,,19.5,
2016-04-06,Walmart #5134           ,Groceries,,135.85,
2016-04-06,MY GYM BAKERSFIELD       ,Hobbies,,68.0,
2016-04-05,HIDE N SEEK              ,General Merchandise,,10.0,
2016-04-05,LORENES COFFEE SHOP      ,Restaurants/Dining,,24.1,
2016-04-04,"Sirius XM Radio, Inc",Entertainment,,12.52,
2016-04-04,GEICO,Insurance,,113.35,
2016-04-04,Sprout's Farmers Market,Groceries,,100.84,
2016-04-03,ENTERPRISE RENT A CAR,Travel,,194.0,
2016-04-01,FOOT REFLEXOLOGY         ,Clothing/Shoes,,30.0,
2016-04-01,LAX AIRPORT,Travel,,3.0,
2016-04-01,SparkFun Electronics,Electronics,,14.5,
2016-04-01,VONS,Groceries,,3.84,
2016-04-01,Apple Inc,Entertainment,,536.43,
2016-04-01,Chevron,Gasoline/Fuel,,1.89,
2016-03-31,SP * ZEAL PC             xxxxxx1167   CD,General Merchandise,,69.6,
2016-03-31,Target,General Merchandise,,37.79,
2016-03-30,SAN JOAQUIN COLLISION    ,General Merchandise,,500.0,
2016-03-30,Bright House Networks,Cable/Satellite Services,,81.25,
2016-03-30,Fastrip Food Stores,Groceries,,19.63,
2016-03-30,Sprout's Farmers Market,Groceries,,34.0,
2016-03-30,Netflix,Entertainment,,7.99,
2016-03-28,Shell,Gasoline/Fuel,,29.69,
2016-03-28,WWW.DISCOUNTFILTERS.C    xxx-xxx5688  IN,General Merchandise,,39.95,
2016-03-28,Chick -Fil-A,Restaurants/Dining,,7.4,
2016-03-28,USPS,Postage and Shipping,,4.32,
2016-03-27,Krispy Kreme Doughnut Corporation,Restaurants/Dining,,10.79,
2016-03-27,Gymboree,Child/Dependent Expenses,,34.39,
2016-03-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,2448.22
2016-03-25,USPS,Postage and Shipping,,1.47,
2016-03-24,DealExtreme.com,Electronics,,3.16,
2016-03-23,Chevron,Gasoline/Fuel,,37.82,
2016-03-22,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,261.0,
2016-03-22,Spotify Ltd,Entertainment,,9.99,
2016-03-22,Trader Joe's,Groceries,,8.36,
2016-03-21,WIKI S WINE DIVE & GRI   ,Groceries,,9.0,
2016-03-21,GRIFITI LLC              xxxxxx6315   CA,General Merchandise,,19.62,
2016-03-21,P.F. CHANG'S,Restaurants/Dining,,21.17,
2016-03-21,Albertsons,Groceries,,113.47,
2016-03-21,Hobby Lobby,Hobbies,,7.88,
2016-03-20,Target,General Merchandise,,28.02,
2016-03-20,"Dollar Tree, Inc.",General Merchandise,,3.08,
2016-03-20,Aveda,Personal Care,,50.0,
2016-03-17,BAKERSFIELD VETERINARY   ,Pets/Pet Care,,75.5,
2016-03-17,Rite Aid,Healthcare/Medical,,10.1,
2016-03-15,USPS,Postage and Shipping,,1.47,
2016-03-15,Sprout's Farmers Market,Groceries,,53.04,
2016-03-14,Target,General Merchandise,,42.27,
2016-03-14,RUSH AIR SPORTS          ,Hobbies,,10.0,
2016-03-13,Amazon.com,General Merchandise,,16.39,
2016-03-13,T-Mobile,Telephone Services,,43.7,
2016-03-11,Steampowered,Entertainment,,,20.0
2016-03-11,P.F. CHANG'S,Restaurants/Dining,,13.19,
2016-03-10,Amazon.com,General Merchandise,,136.06,
2016-03-10,Albertsons,Groceries,,18.08,
2016-03-09,Steampowered,Entertainment,,20.0,
2016-03-09,Shell,Gasoline/Fuel,,33.67,
2016-03-09,EDWARDS BAKERSFIELD ST   ,General Merchandise,,6.25,
2016-03-08,Trader Joe's,Groceries,,59.37,
2016-03-08,Amazon.com,General Merchandise,,,261.33
2016-03-08,FairField Inn,Travel,,105.84,
2016-03-08,The Travelers Companies,Insurance,,55.25,
2016-03-07,PAULS PANTRY             MISSION VIEJOCA,General Merchandise,,22.95,
2016-03-07,PIZZAREV 4               EL SEGUNDO   CA,General Merchandise,,8.99,
2016-03-07,Wineworks,Groceries,,63.16,
2016-03-07,MY GYM BAKERSFIELD       ,Hobbies,,68.0,
2016-03-07,Chick -Fil-A,Restaurants/Dining,,3.73,
2016-03-07,Chick -Fil-A,Restaurants/Dining,,8.58,
2016-03-06,Warner Bros. Records Inc,Entertainment,,10.0,
2016-03-06,LORENES COFFEE SHOP      ,Restaurants/Dining,,41.5,
2016-03-04,P.F. CHANG'S,Restaurants/Dining,,28.0,
2016-03-04,Amazon.com,General Merchandise,,42.4,
2016-03-04,Warner Bros. Records Inc,Entertainment,,114.0,
2016-03-04,KERN R CAFE   xxxx4257   ,Restaurants/Dining,,6.0,
2016-03-03,BevMo.com,Restaurants/Dining,,4.06,
2016-03-03,Amazon.com,General Merchandise,,23.19,
2016-03-03,"Michaels Stores, Inc.",Hobbies,,16.94,
2016-03-03,Amazon.com,General Merchandise,,261.33,
2016-03-03,"Sirius XM Radio, Inc",Entertainment,,12.52,
2016-03-03,Target,General Merchandise,,,21.49
2016-03-03,Apple Inc,Entertainment,,0.99,
2016-03-03,Skechers,Clothing/Shoes,,28.96,
2016-03-03,GEICO,Insurance,,115.11,
2016-03-03,Target,General Merchandise,,74.58,
2016-03-03,USPS,Postage and Shipping,,1.2,
2016-03-02,The Cheesecake Factory,Restaurants/Dining,,36.0,
2016-03-01,EAST COAST BAGELS        LAGUNA NIGUELCA,Restaurants/Dining,,7.54,
2016-03-01,Chevron,Gasoline/Fuel,,8.36,
2016-03-01,Bright House Networks,Cable/Satellite Services,,81.25,
2016-03-01,Sprout's Farmers Market,Groceries,,74.25,
2016-03-01,Netflix,Entertainment,,7.99,
2016-02-29,Chevron,Gasoline/Fuel,,23.74,
2016-02-29,Rite Aid,Healthcare/Medical,,4.48,
2016-02-29,Target,General Merchandise,,87.72,
2016-02-29,"Dollar Tree, Inc.",General Merchandise,,21.5,
2016-02-28,Albertsons,Groceries,,5.98,
2016-02-26,Trader Joe's,Groceries,,54.01,
2016-02-26,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,2527.79
2016-02-25,Nike,Clothing/Shoes,,123.59,
2016-02-25,RUSH AIR SPORTS          ,Hobbies,,10.0,
2016-02-24,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,261.0,
2016-02-24,Shutterfly,Hobbies,,52.82,
2016-02-24,Tommy Hilfiger,Clothing/Shoes,,95.9,
2016-02-24,Gap Inc,Clothing/Shoes,,24.61,
2016-02-23,PIZZA REV 12             ,Restaurants/Dining,,33.05,
2016-02-23,BUCK OWENS CRYSTAL PAL   ,General Merchandise,,117.0,
2016-02-23,Chipotle,Restaurants/Dining,,19.67,
2016-02-22,Express,Clothing/Shoes,,13.0,
2016-02-22,Spotify Ltd,Entertainment,,9.99,
2016-02-22,WM SUPERCENTER #5134     ,Groceries,,87.52,
2016-02-22,Target,General Merchandise,,33.58,
2016-02-22,Hobby Lobby,Hobbies,,53.01,
2016-02-21,Chevron,Gasoline/Fuel,,3.62,
2016-02-19,USA Today,Hobbies,,2.79,
2016-02-19,Krispy Kreme Doughnut Corporation,Restaurants/Dining,,6.84,
2016-02-18,COLD STONE,Restaurants/Dining,,5.39,
2016-02-18,RUSH AIR SPORTS          ,Hobbies,,5.0,
2016-02-18,"Dollar Tree, Inc.",General Merchandise,,2.69,
2016-02-17,Trader Joe's,Groceries,,47.52,
2016-02-17,EDWARDS BAKERSFIELD ST   ,General Merchandise,,6.25,
2016-02-16,FOOT REFLEXOLOGY         ,Clothing/Shoes,,53.0,
2016-02-16,Panera Bread,Restaurants/Dining,,3.39,
2016-02-16,VONS,Groceries,,5.36,
2016-02-15,LORENES COFFEE SHOP      ,Restaurants/Dining,,43.14,
2016-02-15,Party City,Advertising,,22.45,
2016-02-15,HINAS HOME CARE PHARMA   ,Home Maintenance,,2.67,
2016-02-15,Target,General Merchandise,,59.4,
2016-02-15,HOMEGOODS #0518          ,Home Improvement,,8.59,
2016-02-14,VONS,Groceries,,49.5,
2016-02-12,Trader Joe's,Groceries,,13.77,
2016-02-12,Rite Aid,Healthcare/Medical,,6.44,
2016-02-11,T-Mobile,Telephone Services,,43.7,
2016-02-09,The Travelers Companies,Insurance,,55.25,
2016-02-09,FOOT REFLEXOLOGY         ,Clothing/Shoes,,30.0,
2016-02-09,KERN R CAFE   xxxx4257   ,Restaurants/Dining,,7.0,
2016-02-09,Target,General Merchandise,,40.91,
2016-02-08, IHOP,Restaurants/Dining,,40.0,
2016-02-08,Trader Joe's,Groceries,,57.58,
2016-02-08,BOARDWALK PIZZA & P      ANAHEIM      CA,Restaurants/Dining,,26.74,
2016-02-08,MY GYM BAKERSFIELD       ,Hobbies,,68.0,
2016-02-08,HOMEGOODS #0518          ,Home Improvement,,20.39,
2016-02-08,CLARABELLE'S ICE CR      ANAHEIM      CA,General Merchandise,,10.89,
2016-02-08,ExxonMobil,Gasoline/Fuel,,32.07,
2016-02-07,CAROUSEL INN AND SUITE   ANAHEIM      CA,Travel,,22.23,
2016-02-07,CAROUSEL INN AND SUITE   ANAHEIM      CA,Travel,,3.0,
2016-02-05,Baja Fresh,Restaurants/Dining,,12.55,
2016-02-05,Target,General Merchandise,,37.67,
2016-02-05,Chipotle,Restaurants/Dining,,15.48,
2016-02-04,Target,General Merchandise,,75.24,
2016-02-04,KERN R CAFE   xxxx4257   ,Restaurants/Dining,,4.0,
2016-02-04,RUSH AIR SPORTS          ,Hobbies,,16.0,
2016-02-03,GEICO,Insurance,,100.14,
2016-02-03,"Sirius XM Radio, Inc",Entertainment,,12.52,
2016-02-03,Target,General Merchandise,,21.49,
2016-02-02,FOOT REFLEXOLOGY         ,Clothing/Shoes,,30.0,
2016-02-02,JETPENS.COM              xxxxxx6755   CA,General Merchandise,,29.03,
2016-02-01,Groupon Inc.,Entertainment,,131.76,
2016-02-01,HOMEGOODS #0518          ,Home Improvement,,16.1,
2016-01-31,Bright House Networks,Cable/Satellite Services,,81.25,
2016-01-31,T.J. Maxx,General Merchandise,,11.81,
2016-01-31,Netflix,Entertainment,,7.99,
2016-01-28,Albertsons,Groceries,,6.29,
2016-01-27,Chevron,Gasoline/Fuel,,34.9,
2016-01-27,USPS,Postage and Shipping,,1.2,
2016-01-27,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,Credit Card Payments,,,2169.2
2016-01-26,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,406.25,
2016-01-26,Sprout's Farmers Market,Groceries,,38.69,
2016-01-26,VONS,Groceries,,6.7,
2016-01-25,TRAVELODGE MAMMOTH LAK   MAMMOTH LAKESCA,Travel,,147.71,
2016-01-25,MTN,Telephone Services,,15.35,
2016-01-25,53 RESTAURANT            MAMMOTH LAKESCA,Restaurants/Dining,,50.85,
2016-01-25,"Cost Plus, Inc.",Home Improvement,,4.05,
2016-01-25,Baskin-Robbins,Restaurants/Dining,,5.56,
2016-01-25,SUBWAY,Restaurants/Dining,,13.89,
2016-01-25,Chick -Fil-A,Restaurants/Dining,,11.93,
2016-01-25,MTN,Telephone Services,,20.81,
2016-01-25,CVS Pharmacy,Healthcare/Medical,,8.59,
2016-01-25,Trader Joe's,Groceries,,10.44,
2016-01-24,H & M,Clothing/Shoes,,25.69,
2016-01-24,ACTION SPORTS            ,Hobbies,,47.0,
2016-01-22,Spotify Ltd,Entertainment,,9.99,
2016-01-22,Great Clips,Personal Care,,18.0,
2016-01-21,AMERICAN KIDS SPORTS C   xxx-xxx2100  CA,Hobbies,,40.85,
2016-01-21,Shutterfly,Hobbies,,7.18,
2016-01-21,Amazon.com,General Merchandise,,12.82,
2016-01-21,Amazon.com,General Merchandise,,26.86,
2016-01-21,Target,General Merchandise,,11.49,
2016-01-21,Target,General Merchandise,,46.64,
2016-01-20,EDWARDS BAKERSFIELD ST   ,General Merchandise,,6.25,
2016-01-20,Chick -Fil-A,Restaurants/Dining,,4.93,
2016-01-19,Amazon.com,General Merchandise,,44.61,
2016-01-18,Trader Joe's,Groceries,,42.84,
2016-01-18,Walmart #2557           ,Groceries,,29.91,
2016-01-18,MY GYM BAKERSFIELD       ,Hobbies,,50.0,
2016-01-17,Target,General Merchandise,,47.87,
2016-01-15,GETSKITICKETS.COM LLC    xxx-xxx4628  CO,General Merchandise,,169.23,
2016-01-15,VONS,Groceries,,29.15,
2016-01-14,Rite Aid,Healthcare/Medical,,6.86,
2016-01-14,Amazon.com Kindle,Entertainment,,1.99,
2016-01-12,T-Mobile,Telephone Services,,43.7,
2016-01-11,RAMCHANDRA AYYAGARI MD   ,General Merchandise,,55.0,
2016-01-11,RAMCHANDRA AYYAGARI MD   ,General Merchandise,,201.0,
2016-01-11,VONS,Groceries,,39.62,
2016-01-11,Rite Aid,Healthcare/Medical,,6.44,
2016-01-08,The Travelers Companies,Insurance,,55.25,
2016-01-08,7-Eleven,Gasoline/Fuel,,10.3,
2016-01-07,Trader Joe's,Groceries,,58.12,
2016-01-07,KERN R CAFE   xxxx4257   ,Restaurants/Dining,,7.0,
2016-01-07,Avis Rent A Car System,Travel,,57.11,
2016-01-06,MY GYM BAKERSFIELD       ,Hobbies,,68.0,
2016-01-05,Steampowered,Entertainment,,23.81,
2016-01-05,Amazon.com,General Merchandise,,3.75,
2016-01-04,Amazon.com,General Merchandise,,14.7,
2016-01-04,GEICO,Insurance,,100.16,
2016-01-04,"Sirius XM Radio, Inc",Entertainment,,12.52,
