Date,Payee,Category,Memo,Outflow,Inflow
2016-08-10,Interest,Interest,,,0.07
2016-08-10,CARDTRONICS,ATM/Cash Withdrawals,,102.95,
2016-08-10,Chevron,Gasoline/Fuel,,42.29,
2016-08-08,PayPal,Transfers,,,146.85
2016-08-05,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,Paychecks/Salary,,,1463.0
2016-08-04,California Water Service,Utilities,,45.74,
2016-08-02,Inshape,Healthcare/Medical,,56.99,
2016-08-01,CHECK - 203,Checks,,2300.0,
2016-08-01,PURCHASE ON  08/01 AT 3800 ROSEDALE HIGHWAY - ,General Merchandise,,164.16,
2016-08-01,DEPOSIT FROM CARTUS-EDI PAYMTS,Other Income,,,411.0
2016-08-01,Deposit,Deposits,,,1.5
2016-07-28,Transfer,Transfers,,316.87,
2016-07-27,Cash Withdrawal,ATM/Cash Withdrawals,,41.5,
2016-07-26,Pacific Gas and Electric Company,Utilities,,104.26,
2016-07-25,CHECK - 109,Checks,,53.73,
2016-07-25,Transfer,Transfers,,,0.02
2016-07-25,DEPOSIT,Deposits,,,110.91
2016-07-25,PayPal,Transfers,,,188.05
2016-07-22,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,Paychecks/Salary,,,1463.0
2016-07-20,Southern California Gas Company,Utilities,,18.33,
2016-07-19,CHECK - 108,Checks,,260.0,
2016-07-15,Reimbursement,Other Income,,,638.76
2016-07-13,Interest,Interest,,,0.13
2016-07-13,Citibank,Credit Card Payments,,3887.94,
2016-07-13,HSBC,Transfers,,3060.0,
2016-07-11,Chevron,Gasoline/Fuel,,136.2,
2016-07-07,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,Paychecks/Salary,,,1463.0
2016-07-06,California Water Service,Utilities,,36.85,
2016-07-05,PAYMENT TO WATSON REALTY SE-WEB PMTS,Credit Card Payments,,1950.0,
2016-07-05,PayPal,Transfers,,74.2,
2016-07-05,Inshape,Healthcare/Medical,,10.0,
2016-07-01,Deposit,Deposits,,,3.0
2016-07-01,Deposit,Deposits,,,2.95
2016-06-28,Transfer,Transfers,,422.9,
2016-06-27,Pacific Gas and Electric Company,Utilities,,137.08,
2016-06-22,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,Paychecks/Salary,,,1463.0
2016-06-20,Southern California Gas Company,Utilities,,19.58,
2016-06-20,CASH CONCENTRATION AMZNIPMS4K32-MARKETPLAC,Uncategorized,,,11.11
2016-06-20,Arco,Gasoline/Fuel,,11.12,
2016-06-14,Citibank,Credit Card Payments,,999.49,
2016-06-14,DEPOSIT FROM CARTUS-EDI PAYMTS,Other Income,,,1500.0
2016-06-14,CARDTRONICS,ATM/Cash Withdrawals,,62.95,
2016-06-10,Interest,Interest,,,0.06
2016-06-10,Chevron,Gasoline/Fuel,,138.42,
2016-06-10,PayPal,Transfers,,,369.29
2016-06-10,PayPal,Transfers,,,345.29
2016-06-08,"33RECD CHIP CITIBANK NA*ORG:WORLD FIRST UK LTD,SW11 3RB, - UK*OGB:CITIBANK NA,NEW YORK*BNF:ALEXANDER JACOB JOHNSTO",Transfers,,,10000.0
2016-06-07,California Water Service,Utilities,,27.75,
2016-06-07,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,Paychecks/Salary,,,1463.0
2016-06-03,PURCHASE ON  06/03 AT 3800 ROSEDALE HIGHWAY - ,General Merchandise,,84.29,
2016-06-03,Cash Withdrawal,ATM/Cash Withdrawals,,83.0,
